hakai_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
U1204,Chilko,3,1.00,,,,,,,,,,,,
U76,Chilko,3,0.50,L_Adams,4,0.25,U_Horsefly,3,0.13,Middle,3,0.07,Horsefly,3,0.02
U950,L_Adams,4,0.34,Thompson_N,2,0.28,Chilko,3,0.16,U_Horsefly,3,0.12,Middle,3,0.04
U1066,Sandpoint,1,0.45,Sinta,1,0.27,Blackwater,1,0.09,Narrows,1,0.07,Hudson_Bay,1,0.04
U1067,Chilko,3,0.81,L_Adams,4,0.04,Sandpoint,1,0.03,Quesnel_Horsef,3,0.02,Little,4,0.02
U1068,Middle,3,0.95,Sandpoint,1,0.02,Little,4,0.01,L_Adams,4,0.00,Narrows,1,0.00
U1069,Quesnel_Horsef,3,0.39,L_Adams,4,0.33,Chilko,3,0.19,Bowron,2,0.05,Horsefly,3,0.03
U1070,Weaver,4,0.54,Pitt,2,0.10,Middle,3,0.07,Chilko,3,0.07,Sandpoint,1,0.05
U1102,Quesnel_Horsef,3,0.53,Chilko,3,0.28,Horsefly,3,0.06,Chilko_south,2,0.05,Sandpoint,1,0.03
U1103,Seymour,2,0.95,L_Adams,4,0.04,Scotch,2,0.01,,,,,,
U1104,Chilko,3,0.94,L_Adams,4,0.03,Chilko_south,2,0.01,Chilko-North,3,0.00,Little,4,0.00
U1122,Thompson_N,2,0.58,Raft,2,0.37,Chilko,3,0.02,Quesnel_Horsef,3,0.01,Fennell,2,0.01
U1123,Chilko,3,0.88,Chilko_south,2,0.08,Chilko-North,3,0.03,L_Adams,4,0.00,Middle,3,0.00
U1124,L_Adams,4,0.40,Chilko,3,0.28,Little,4,0.15,Scotch,2,0.07,Seymour,2,0.05
U1125,Quesnel_Mitche,3,1.00,Mitchell,3,0.00,,,,,,,,,
U1126,L_Adams,4,0.90,Little,4,0.08,Raft,2,0.00,Sinta,1,0.00,Banks,15,0.00
U1127,Quesnel_Mitche,3,0.99,Mitchell,3,0.00,Blue_Lead_Ck,3,0.00,,,,,,
U1128,Pitt,2,1.00,,,,,,,,,,,,
U1131,Quesnel_Mitche,3,0.99,Mitchell,3,0.01,Blue_Lead_Ck,3,0.00,,,,,,
U1132,L_Adams,4,0.80,Seymour,2,0.08,Horsefly,3,0.07,Little,4,0.03,Eagle_L,4,0.00
U1133,Chilko,3,0.98,Chilko_south,2,0.01,L_Adams,4,0.01,Quesnel_Horsef,3,0.00,Little,4,0.00
U1134,L_Adams,4,0.74,Little,4,0.20,Seymour,2,0.04,Scotch,2,0.02,Thompson_N,2,0.00
U1135,Quesnel_Mitche,3,0.99,Mitchell,3,0.01,Blue_Lead_Ck,3,0.00,,,,,,
U929,Chilko,3,0.98,Chilko_south,2,0.01,Chilko-North,3,0.00,Middle,3,0.00,Narrows,1,0.00
U940,Middle,3,0.97,Canoe_Cr,15,0.01,Birkenhead,3,0.00,Narrows,1,0.00,Chilko,3,0.00
U941,Chilko,3,0.99,L_Adams,4,0.01,Chilko-North,3,0.01,McKinley,3,0.00,,,
U942,Middle,3,0.62,L_Adams,4,0.20,Weaver,4,0.08,Chilko,3,0.04,Pitt,2,0.04
U951,L_Adams,4,0.58,Chilko,3,0.10,Chilko_south,2,0.10,Middle,3,0.07,Quesnel_Horsef,3,0.05
